"neo_id","date","hour","minute","relative_velocity_kph","miss_distance_km","orbiting_body",
"2001685","2020-07-27","13","22","76401.7569603086","49540883.527006835","Earth",
"2001862","2021-11-22","08","44","84796.4948068336","31657772.131478403","Earth",
"2001865","2020-07-21","01","08","86318.6299114626","60989943.03390394","Earth",
"2002063","2021-08-21","19","16","89815.8792943091","74633074.82426548","Earth",
"2002101","2020-06-19","10","14","128770.4374199345","55095704.033804595","Earth",
"2002102","2020-06-19","03","59","101598.5270729988","72255801.74292527","Earth",
"2002340","2021-11-01","01","59","36023.1676455128","24028681.99792553","Earth",
"2003103","2021-07-31","17","20","66332.2982749132","35386381.68169939","Earth",
"2003360","2020-04-11","22","55","133265.6555018958","71869523.00338787","Earth",
"2003361","2021-11-21","19","20","29301.8373038425","5768613.799812379","Earth",
"2003908","2020-12-08","23","45","71565.2926033446","74155323.98840341","Earth",
"2004034","2021-08-28","01","44","73806.6310820118","33022168.180254646","Earth",
"2004341","2021-12-12","13","35","64181.6201335763","49617089.070939295","Earth",
"2004450","2020-05-30","22","48","69060.7695223926","63056799.592527576","Earth",
"2004544","2021-05-23","01","59","48004.9254884628","37177061.24425822","Earth",
"2004581","2020-03-25","14","45","45975.8533198129","10542846.668190138","Earth",
"2004660","2021-12-11","13","51","23681.6619491049","3934289.627152953","Earth",
"2004688","2021-01-25","02","21","48960.1708608672","53739179.735189036","Earth",
"2004947","2020-09-12","14","39","22928.8607955123","66508836.90911122","Earth",
"2004953","2021-01-07","06","33","66578.1926647997","59131944.56448319","Earth",
"2005143","2021-11-18","15","46","122333.6311663255","45810207.77588477","Earth",
"2005189","2021-05-06","15","11","48580.4374910194","10208397.890928898","Earth",
"2005645","2020-10-17","14","56","53936.2626449458","21250927.34031033","Earth",
"2005660","2020-02-05","20","01","117580.1410317899","61194132.921573475","Earth",
"2005786","2020-08-24","21","08","149896.3372038738","65679752.67807397","Earth",
"2005879","2021-02-14","11","48","42386.8540429037","29733428.158616252","Earth",
"2006037","2020-12-19","04","01","51876.9312340687","50046485.118005104","Earth",
"2006047","2020-03-26","09","42","77990.178149181","57524086.40464203","Earth",
"2006239","2020-04-14","11","00","46217.8736772905","47653788.06243406","Earth",
"2006569","2020-07-12","06","40","41266.1141232653","39168388.949954554","Earth",
"2007753","2020-11-22","16","55","41455.578712108","9902355.983925791","Earth",
"2007822","2021-08-25","19","35","74560.0517645425","21754912.032650284","Earth",
"2008014","2020-07-23","23","09","27516.9591782096","8181493.627617664","Earth",
"2008176","2021-04-17","11","29","138835.9858913716","72747246.5882897","Earth",
"2008566","2020-09-25","14","10","106745.9731975541","56041278.66015172","Earth",
"2009162","2020-08-07","15","58","81164.5537633276","27266968.971043035","Earth",
"2009202","2020-07-13","21","18","89984.1680343025","66118304.39901973","Earth",
"2010115","2020-02-26","06","25","81284.8176679529","61451155.870116875","Earth",
"2010165","2021-10-27","23","46","74288.4433829507","61988077.71997196","Earth",
"2012538","2021-03-28","03","07","54891.1007702269","48647149.933178246","Earth",
"2012923","2021-09-25","03","24","52864.1859228473","32520066.850299057","Earth",
"2015817","2020-09-28","16","15","27780.4223327023","63483991.59921489","Earth",
"2016636","2021-08-19","21","51","15536.2528856595","51923011.627700455","Earth",
